timestamp_unix,timestamp_iso,participant_full_id,activity_intensity,missing_value_reason
1768439400000,2026-01-15T01:10:00Z,1788-1-1-GV,,device_not_recording
1768439460000,2026-01-15T01:11:00Z,1788-1-1-GV,,device_not_recording
1768439520000,2026-01-15T01:12:00Z,1788-1-1-GV,,device_not_recording
1768439580000,2026-01-15T01:13:00Z,1788-1-1-GV,,device_not_recording
1768439640000,2026-01-15T01:14:00Z,1788-1-1-GV,,device_not_recording
1768439700000,2026-01-15T01:15:00Z,1788-1-1-GV,,device_not_recording
1768439760000,2026-01-15T01:16:00Z,1788-1-1-GV,,device_not_recording
1768439820000,2026-01-15T01:17:00Z,1788-1-1-GV,,device_not_recording
1768439880000,2026-01-15T01:18:00Z,1788-1-1-GV,,device_not_recording
1768439940000,2026-01-15T01:19:00Z,1788-1-1-GV,,device_not_recording
1768440000000,2026-01-15T01:20:00Z,1788-1-1-GV,,device_not_recording
1768440060000,2026-01-15T01:21:00Z,1788-1-1-GV,,device_not_recording
1768440120000,2026-01-15T01:22:00Z,1788-1-1-GV,,device_not_recording
1768440180000,2026-01-15T01:23:00Z,1788-1-1-GV,,device_not_recording
1768440240000,2026-01-15T01:24:00Z,1788-1-1-GV,,device_not_recording
1768440300000,2026-01-15T01:25:00Z,1788-1-1-GV,,device_not_recording
1768440360000,2026-01-15T01:26:00Z,1788-1-1-GV,,device_not_recording
1768440420000,2026-01-15T01:27:00Z,1788-1-1-GV,,device_not_recording
1768440480000,2026-01-15T01:28:00Z,1788-1-1-GV,,device_not_recording
1768440540000,2026-01-15T01:29:00Z,1788-1-1-GV,,device_not_recording
1768440600000,2026-01-15T01:30:00Z,1788-1-1-GV,,device_not_recording
1768440660000,2026-01-15T01:31:00Z,1788-1-1-GV,,device_not_recording
1768440720000,2026-01-15T01:32:00Z,1788-1-1-GV,,device_not_recording
1768440780000,2026-01-15T01:33:00Z,1788-1-1-GV,,device_not_recording
1768440840000,2026-01-15T01:34:00Z,1788-1-1-GV,,device_not_recording
1768440900000,2026-01-15T01:35:00Z,1788-1-1-GV,,device_not_recording
1768440960000,2026-01-15T01:36:00Z,1788-1-1-GV,,device_not_recording
1768441020000,2026-01-15T01:37:00Z,1788-1-1-GV,,device_not_recording
1768441080000,2026-01-15T01:38:00Z,1788-1-1-GV,,device_not_recording
1768441140000,2026-01-15T01:39:00Z,1788-1-1-GV,,device_not_recording
1768441200000,2026-01-15T01:40:00Z,1788-1-1-GV,,device_not_recording
1768441260000,2026-01-15T01:41:00Z,1788-1-1-GV,,device_not_recording
1768441320000,2026-01-15T01:42:00Z,1788-1-1-GV,,device_not_recording
1768441380000,2026-01-15T01:43:00Z,1788-1-1-GV,,device_not_recording
1768441440000,2026-01-15T01:44:00Z,1788-1-1-GV,,device_not_recording
1768441500000,2026-01-15T01:45:00Z,1788-1-1-GV,,device_not_recording
1768441560000,2026-01-15T01:46:00Z,1788-1-1-GV,,device_not_recording
1768441620000,2026-01-15T01:47:00Z,1788-1-1-GV,,device_not_recording
1768441680000,2026-01-15T01:48:00Z,1788-1-1-GV,,device_not_recording
1768441740000,2026-01-15T01:49:00Z,1788-1-1-GV,,device_not_recording
1768441800000,2026-01-15T01:50:00Z,1788-1-1-GV,,device_not_recording
1768441860000,2026-01-15T01:51:00Z,1788-1-1-GV,,device_not_recording
1768441920000,2026-01-15T01:52:00Z,1788-1-1-GV,,device_not_recording
1768441980000,2026-01-15T01:53:00Z,1788-1-1-GV,,device_not_recording
1768442040000,2026-01-15T01:54:00Z,1788-1-1-GV,,device_not_recording
1768442100000,2026-01-15T01:55:00Z,1788-1-1-GV,,device_not_recording
1768442160000,2026-01-15T01:56:00Z,1788-1-1-GV,,device_not_recording
1768442220000,2026-01-15T01:57:00Z,1788-1-1-GV,,device_not_recording
1768442280000,2026-01-15T01:58:00Z,1788-1-1-GV,,device_not_recording
1768442340000,2026-01-15T01:59:00Z,1788-1-1-GV,,device_not_recording
1768442400000,2026-01-15T02:00:00Z,1788-1-1-GV,,device_not_recording
1768442460000,2026-01-15T02:01:00Z,1788-1-1-GV,,device_not_recording
1768442520000,2026-01-15T02:02:00Z,1788-1-1-GV,,device_not_recording
